Employee_ID,Employee_Status,Attrition_Flag,Attrition,Age,Age_Group,Gender,Marital_Status,Education,Education_Field,Department,Job_Role,Job_Level,Job_Involvement,Business_Travel,Distance_From_Home,Distance_Category,Daily_Rate,Hourly_Rate,Monthly_Rate,Monthly_Income,Income_Range,Income_Category,Percent_Salary_Hike,Stock_Option_Level,Performance_Rating,Performance_Category,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Overall_Satisfaction,Over_Time,Attrition_Risk,Total_Working_Years,Experience_Group,Years_At_Company,Company_Tenure,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager,Num_Companies_Worked,Training_Times_Last_Year
514,Ex-Employee,1,Yes,30,26-35,Male,Single,3,Technical Degree,Research & Development,Research Scientist,1,3,Travel Frequently,4,Near (0-5 km),464,40,3427,2285,<$3K,Lower Income,23,0,4,Excellent,3,4,3,3,3.25,Yes,Moderate Risk,3,Junior(3-5),1,1-3 Years,0,0,0,9,4
515,Active Employee,0,No,37,35-45,Female,Divorced,3,Life Sciences,Research & Development,Laboratory Technician,1,3,Travel Rarely,14,Moderate (6-15 km),1107,95,26914,3034,$3K-<6K,Lower Middle Income,12,1,3,Good,4,1,3,2,2.5,No,Low Risk,18,Senior(11-20),18,15+ Years,7,12,17,1,2
516,Active Employee,0,No,40,35-45,Female,Divorced,2,Marketing,Sales,Sales Executive,2,3,Travel Rarely,2,Near (0-5 km),759,46,22553,5715,$3K-<6K,Lower Middle Income,12,2,3,Good,4,2,3,3,3,No,Low Risk,8,Mid-Level(6-10),5,4-7 Years,4,1,3,7,5
517,Active Employee,0,No,42,35-45,Female,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,1,3,Travel Rarely,1,Near (0-5 km),201,95,20490,2576,<$3K,Lower Income,16,1,3,Good,2,1,2,3,2,No,Low Risk,8,Mid-Level(6-10),5,4-7 Years,2,1,2,3,5
518,Active Employee,0,No,37,35-45,Male,Single,4,Life Sciences,Research & Development,Manufacturing Director,2,3,Travel Rarely,10,Moderate (6-15 km),1305,49,21123,4197,$3K-<6K,Lower Middle Income,12,0,3,Good,3,2,4,2,2.75,Yes,Moderate Risk,18,Senior(11-20),1,1-3 Years,0,0,1,2,2
520,Active Employee,0,No,43,35-45,Male,Divorced,3,Life Sciences,Research & Development,Research Director,4,2,Travel Rarely,12,Moderate (6-15 km),982,59,4345,14336,$10K-<15K,Upper Middle Income,11,1,3,Good,1,2,3,3,2.25,No,Low Risk,25,Expert(20+),25,15+ Years,10,3,9,1,3
521,Active Employee,0,No,40,35-45,Female,Married,3,Medical,Research & Development,Laboratory Technician,2,2,Travel Rarely,2,Near (0-5 km),555,78,13436,3448,$3K-<6K,Lower Middle Income,22,1,4,Excellent,2,3,2,3,2.5,No,Low Risk,20,Senior(11-20),1,1-3 Years,0,0,0,6,3
522,Active Employee,0,No,54,46-55,Male,Married,2,Medical,Research & Development,Research Director,5,3,Travel Rarely,5,Near (0-5 km),821,86,8509,19406,$15K+,Higher Income,11,1,3,Good,1,1,3,2,1.75,No,Low Risk,24,Expert(20+),4,4-7 Years,2,1,2,4,4
523,Active Employee,0,No,34,26-35,Female,Married,4,Marketing,Sales,Sales Executive,2,3,Non-Travel,4,Near (0-5 km),1381,72,12740,6538,$6K-<10K,Middle Income,15,1,3,Good,3,3,1,3,2.5,No,Low Risk,6,Mid-Level(6-10),3,1-3 Years,2,1,2,9,3
524,Active Employee,0,No,31,26-35,Female,Married,2,Medical,Research & Development,Manufacturing Director,2,3,Travel Rarely,7,Moderate (6-15 km),480,31,4156,4306,$3K-<6K,Lower Middle Income,12,1,3,Good,2,1,2,1,1.5,No,Low Risk,13,Senior(11-20),13,10-15 Years,10,3,12,1,5
525,Active Employee,0,No,43,35-45,Male,Married,3,Medical,Research & Development,Laboratory Technician,1,3,Travel Frequently,21,Far (16-30 km),313,61,15238,2258,<$3K,Lower Income,20,1,4,Excellent,4,4,1,3,3,No,Low Risk,8,Mid-Level(6-10),3,1-3 Years,2,1,2,7,1
526,Active Employee,0,No,43,35-45,Female,Divorced,4,Other,Research & Development,Healthcare Representative,2,3,Travel Rarely,8,Moderate (6-15 km),1473,74,2227,4522,$3K-<6K,Lower Middle Income,14,0,3,Good,3,3,4,3,3.25,Yes,Moderate Risk,8,Mid-Level(6-10),5,4-7 Years,2,0,2,4,3
527,Active Employee,0,No,25,18-25,Female,Single,2,Life Sciences,Sales,Sales Executive,2,2,Travel Rarely,4,Near (0-5 km),891,99,12090,4487,$3K-<6K,Lower Middle Income,11,0,3,Good,2,4,2,3,2.75,Yes,Moderate Risk,5,Junior(3-5),5,4-7 Years,4,1,3,1,3
529,Active Employee,0,No,37,35-45,Female,Married,5,Medical,Research & Development,Research Scientist,2,3,Non-Travel,25,Far (16-30 km),1063,72,23866,4449,$3K-<6K,Lower Middle Income,15,2,3,Good,2,3,1,3,2.25,Yes,High Risk,15,Senior(11-20),13,10-15 Years,11,10,7,3,2
530,Active Employee,0,No,31,26-35,Male,Married,2,Life Sciences,Research & Development,Laboratory Technician,1,2,Travel Rarely,1,Near (0-5 km),329,98,16193,2218,<$3K,Lower Income,12,1,3,Good,4,1,3,3,2.75,No,Low Risk,4,Junior(3-5),4,4-7 Years,2,3,2,1,3
531,Active Employee,0,No,39,35-45,Male,Divorced,1,Life Sciences,Research & Development,Manager,5,3,Travel Frequently,1,Near (0-5 km),1218,52,8213,19197,$15K+,Higher Income,14,1,3,Good,2,3,3,3,2.75,Yes,Moderate Risk,21,Expert(20+),21,15+ Years,8,1,6,1,3
532,Active Employee,0,No,56,56+,Female,Married,3,Life Sciences,Sales,Sales Executive,4,4,Travel Frequently,6,Moderate (6-15 km),906,86,18256,13212,$10K-<15K,Upper Middle Income,11,3,3,Good,3,1,4,2,2.5,No,Low Risk,36,Expert(20+),7,4-7 Years,7,7,7,9,0
533,Active Employee,0,No,30,26-35,Female,Single,3,Technical Degree,Sales,Sales Executive,2,3,Travel Rarely,12,Moderate (6-15 km),1082,83,19558,6577,$6K-<10K,Middle Income,11,0,3,Good,2,3,2,3,2.5,No,Low Risk,6,Mid-Level(6-10),5,4-7 Years,4,4,4,0,6
534,Active Employee,0,No,41,35-45,Male,Married,3,Marketing,Sales,Sales Executive,3,4,Travel Rarely,1,Near (0-5 km),645,49,19566,8392,$6K-<10K,Middle Income,16,1,3,Good,2,1,3,3,2.25,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,7,0,7,1,2
536,Active Employee,0,No,28,26-35,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,2,3,Travel Rarely,17,Far (16-30 km),1300,79,13535,4558,$3K-<6K,Lower Middle Income,12,1,3,Good,3,1,4,3,2.75,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,0,1,8,1,2
538,Ex-Employee,1,Yes,25,18-25,Male,Married,3,Medical,Research & Development,Laboratory Technician,1,3,Travel Rarely,3,Near (0-5 km),688,91,9396,4031,$3K-<6K,Lower Middle Income,13,1,3,Good,1,1,3,3,2,No,Low Risk,6,Mid-Level(6-10),2,1-3 Years,2,0,2,5,5
543,Active Employee,0,No,52,46-55,Male,Married,3,Medical,Research & Development,Manufacturing Director,3,2,Travel Rarely,3,Near (0-5 km),319,39,19609,7969,$6K-<10K,Middle Income,14,0,3,Good,4,3,3,3,3.25,Yes,Moderate Risk,28,Expert(20+),5,4-7 Years,4,0,4,2,4
544,Active Employee,0,No,45,35-45,Male,Married,2,Life Sciences,Research & Development,Research Scientist,1,3,Travel Rarely,10,Moderate (6-15 km),192,69,9655,2654,<$3K,Lower Income,21,2,4,Excellent,1,4,4,2,2.75,No,Low Risk,8,Mid-Level(6-10),2,1-3 Years,2,0,2,3,3
546,Active Employee,0,No,52,46-55,Female,Married,2,Life Sciences,Research & Development,Manager,4,3,Travel Rarely,4,Near (0-5 km),1490,30,10310,16555,$15K+,Higher Income,13,0,3,Good,4,4,4,1,3.25,No,Low Risk,31,Expert(20+),5,4-7 Years,2,1,4,2,2
547,Active Employee,0,No,42,35-45,Female,Divorced,2,Life Sciences,Research & Development,Research Scientist,2,3,Travel Frequently,29,Far (16-30 km),532,92,12932,4556,$3K-<6K,Lower Middle Income,11,1,3,Good,1,3,2,3,2.25,No,Low Risk,19,Senior(11-20),5,4-7 Years,4,0,2,2,3
548,Active Employee,0,No,30,26-35,Female,Single,3,Life Sciences,Research & Development,Manufacturing Director,2,1,Travel Rarely,2,Near (0-5 km),317,43,24793,6091,$6K-<10K,Middle Income,20,0,4,Excellent,3,4,3,3,3.25,No,Low Risk,11,Senior(11-20),5,4-7 Years,4,0,2,2,2
549,Active Employee,0,No,60,56+,Female,Married,3,Life Sciences,Research & Development,Manager,5,3,Travel Rarely,7,Moderate (6-15 km),422,41,3854,19566,$15K+,Higher Income,11,0,3,Good,1,1,4,1,1.75,No,Low Risk,33,Expert(20+),29,15+ Years,8,11,10,5,5
550,Active Employee,0,No,46,46-55,Female,Divorced,3,Medical,Research & Development,Manufacturing Director,2,3,Travel Rarely,18,Far (16-30 km),1485,87,26314,4810,$3K-<6K,Lower Middle Income,14,1,3,Good,3,3,3,2,2.75,No,Low Risk,19,Senior(11-20),10,8-10 Years,7,0,8,2,5
551,Active Employee,0,No,42,35-45,Female,Married,4,Technical Degree,Research & Development,Healthcare Representative,2,2,Travel Frequently,28,Far (16-30 km),1368,88,4386,4523,$3K-<6K,Lower Middle Income,11,3,3,Good,4,4,4,4,4,No,Low Risk,7,Mid-Level(6-10),6,4-7 Years,5,0,4,0,4
554,Ex-Employee,1,Yes,24,18-25,Female,Single,1,Technical Degree,Sales,Sales Representative,1,3,Travel Rarely,1,Near (0-5 km),1448,62,21972,3202,$3K-<6K,Lower Middle Income,16,0,3,Good,1,2,2,3,2,Yes,High Risk,6,Mid-Level(6-10),5,4-7 Years,3,1,4,1,4
555,Ex-Employee,1,Yes,34,26-35,Female,Divorced,2,Marketing,Sales,Sales Representative,1,1,Travel Frequently,6,Moderate (6-15 km),296,33,12253,2351,<$3K,Lower Income,16,1,3,Good,4,3,4,2,3.25,No,Low Risk,3,Junior(3-5),2,1-3 Years,2,1,0,0,3
556,Active Employee,0,No,38,35-45,Male,Married,2,Life Sciences,Research & Development,Laboratory Technician,1,3,Travel Frequently,2,Near (0-5 km),1490,42,12106,1702,<$3K,Lower Income,23,1,4,Excellent,4,4,3,3,3.5,Yes,Moderate Risk,1,Fresher(0-2),1,1-3 Years,0,0,0,1,3
558,Active Employee,0,No,40,35-45,Female,Married,4,Life Sciences,Sales,Manager,5,3,Travel Rarely,2,Near (0-5 km),1398,79,13022,18041,$15K+,Higher Income,14,0,3,Good,3,3,4,3,3.25,No,Low Risk,21,Expert(20+),20,15+ Years,15,1,12,0,2
560,Active Employee,0,No,26,26-35,Female,Divorced,3,Life Sciences,Research & Development,Research Scientist,1,3,Travel Rarely,23,Far (16-30 km),1349,90,3032,2886,<$3K,Lower Income,22,2,4,Excellent,1,4,2,1,2,No,Low Risk,3,Junior(3-5),3,1-3 Years,2,0,2,1,3
562,Active Employee,0,No,30,26-35,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,1,3,Non-Travel,3,Near (0-5 km),1400,53,16734,2097,<$3K,Lower Income,15,1,3,Good,3,4,3,1,2.75,No,Low Risk,9,Mid-Level(6-10),5,4-7 Years,3,1,4,4,3
564,Active Employee,0,No,29,26-35,Male,Married,4,Medical,Research & Development,Research Director,3,2,Travel Rarely,3,Near (0-5 km),986,93,21526,11935,$10K-<15K,Upper Middle Income,18,0,3,Good,2,3,3,3,2.75,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,2,0,7,1,2
565,Ex-Employee,1,Yes,29,26-35,Female,Married,5,Technical Degree,Research & Development,Research Scientist,1,2,Travel Rarely,25,Far (16-30 km),408,71,18300,2546,<$3K,Lower Income,16,0,3,Good,3,2,2,4,2.75,No,Low Risk,6,Mid-Level(6-10),2,1-3 Years,2,1,1,5,2
566,Ex-Employee,1,Yes,19,18-25,Male,Single,2,Technical Degree,Human Resources,Human Resources,1,2,Travel Rarely,2,Near (0-5 km),489,52,18437,2564,<$3K,Lower Income,12,0,3,Good,1,4,3,4,3,No,Low Risk,1,Fresher(0-2),1,1-3 Years,0,0,0,1,3
567,Active Employee,0,No,30,26-35,Female,Married,4,Other,Sales,Sales Executive,3,3,Non-Travel,22,Far (16-30 km),1398,69,2890,8412,$6K-<10K,Middle Income,11,0,3,Good,3,1,3,3,2.5,No,Low Risk,10,Mid-Level(6-10),9,8-10 Years,8,7,8,0,3
568,Active Employee,0,No,57,56+,Male,Divorced,3,Marketing,Sales,Manager,4,2,Travel Rarely,29,Far (16-30 km),210,56,22102,14118,$10K-<15K,Upper Middle Income,12,1,3,Good,1,4,3,2,2.5,No,Low Risk,32,Expert(20+),1,1-3 Years,0,0,0,3,3
569,Active Employee,0,No,50,46-55,Male,Married,4,Life Sciences,Research & Development,Manager,4,2,Travel Rarely,29,Far (16-30 km),1099,88,9314,17046,$15K+,Higher Income,15,1,3,Good,2,3,2,3,2.5,No,Low Risk,28,Expert(20+),27,15+ Years,10,15,7,0,2
571,Active Employee,0,No,30,26-35,Female,Single,3,Medical,Research & Development,Laboratory Technician,1,3,Non-Travel,2,Near (0-5 km),1116,49,7181,2564,<$3K,Lower Income,14,0,3,Good,3,4,3,2,3,No,Low Risk,12,Senior(11-20),11,10-15 Years,7,6,7,0,2
573,Active Employee,0,No,60,56+,Female,Married,3,Marketing,Sales,Sales Executive,3,2,Travel Frequently,28,Far (16-30 km),1499,80,2845,10266,$10K-<15K,Upper Middle Income,19,0,3,Good,3,1,4,4,3,No,Low Risk,22,Expert(20+),18,15+ Years,13,13,11,4,5
574,Active Employee,0,No,47,46-55,Female,Divorced,2,Medical,Research & Development,Manufacturing Director,2,3,Travel Rarely,2,Near (0-5 km),983,65,7389,5070,$3K-<6K,Lower Middle Income,13,3,3,Good,1,4,3,3,2.75,No,Low Risk,20,Senior(11-20),5,4-7 Years,0,0,4,5,2
575,Active Employee,0,No,46,46-55,Male,Married,3,Life Sciences,Research & Development,Research Director,4,3,Travel Rarely,2,Near (0-5 km),1009,51,2288,17861,$15K+,Higher Income,13,0,3,Good,1,3,3,1,2,No,Low Risk,26,Expert(20+),3,1-3 Years,2,0,1,6,2
577,Active Employee,0,No,35,35-45,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,1,1,Travel Rarely,22,Far (16-30 km),144,46,19225,4230,$3K-<6K,Lower Middle Income,15,0,3,Good,4,3,3,3,3.25,No,Low Risk,6,Mid-Level(6-10),5,4-7 Years,4,4,3,0,2
578,Active Employee,0,No,54,46-55,Female,Single,4,Life Sciences,Research & Development,Laboratory Technician,2,3,Travel Rarely,8,Moderate (6-15 km),548,42,23428,3780,$3K-<6K,Lower Middle Income,11,0,3,Good,3,3,3,3,3,No,Low Risk,19,Senior(11-20),1,1-3 Years,0,0,0,7,3
579,Active Employee,0,No,34,26-35,Male,Divorced,4,Life Sciences,Research & Development,Research Scientist,1,2,Travel Rarely,2,Near (0-5 km),1303,62,8416,2768,<$3K,Lower Income,12,1,3,Good,4,3,3,3,3.25,No,Low Risk,14,Senior(11-20),7,4-7 Years,3,5,7,3,3
580,Active Employee,0,No,46,46-55,Female,Married,3,Marketing,Sales,Sales Executive,3,2,Travel Rarely,10,Moderate (6-15 km),1125,94,11563,9071,$6K-<10K,Middle Income,19,1,3,Good,3,4,3,3,3.25,Yes,Moderate Risk,15,Senior(11-20),3,1-3 Years,2,1,2,2,3
581,Active Employee,0,No,31,26-35,Male,Divorced,1,Life Sciences,Research & Development,Manufacturing Director,3,3,Travel Rarely,9,Moderate (6-15 km),1274,33,14394,10648,$10K-<15K,Upper Middle Income,25,1,4,Excellent,3,2,4,4,3.25,No,Low Risk,13,Senior(11-20),13,10-15 Years,8,0,8,1,6
582,Ex-Employee,1,Yes,33,26-35,Male,Married,1,Medical,Research & Development,Manager,3,3,Travel Rarely,15,Moderate (6-15 km),1277,56,24619,13610,$10K-<15K,Upper Middle Income,12,0,3,Good,2,3,4,4,3.25,Yes,High Risk,15,Senior(11-20),7,4-7 Years,6,7,7,7,2
584,Ex-Employee,1,Yes,33,26-35,Male,Divorced,1,Medical,Research & Development,Laboratory Technician,1,1,Travel Rarely,10,Moderate (6-15 km),587,38,6705,3408,$3K-<6K,Lower Middle Income,13,3,3,Good,1,4,1,3,2.25,No,Low Risk,8,Mid-Level(6-10),4,4-7 Years,3,1,3,7,2
585,Active Employee,0,No,30,26-35,Male,Single,1,Marketing,Sales,Sales Representative,1,3,Travel Rarely,7,Moderate (6-15 km),413,57,18398,2983,<$3K,Lower Income,14,0,3,Good,4,2,1,3,2.5,No,Low Risk,4,Junior(3-5),3,1-3 Years,2,1,2,0,3
586,Active Employee,0,No,35,35-45,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,3,3,Travel Rarely,16,Far (16-30 km),1276,72,14295,7632,$6K-<10K,Middle Income,12,0,3,Good,4,3,3,3,3.25,Yes,High Risk,10,Mid-Level(6-10),8,8-10 Years,7,0,0,4,2
587,Ex-Employee,1,Yes,31,26-35,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,3,3,Travel Frequently,20,Far (16-30 km),534,66,22908,9824,$6K-<10K,Middle Income,12,0,3,Good,1,3,1,3,2,No,Low Risk,12,Senior(11-20),1,1-3 Years,0,0,0,3,2
590,Ex-Employee,1,Yes,34,26-35,Female,Divorced,3,Human Resources,Human Resources,Human Resources,3,3,Travel Frequently,23,Far (16-30 km),988,43,11533,9950,$6K-<10K,Middle Income,15,3,3,Good,2,1,3,3,2.25,Yes,High Risk,11,Senior(11-20),3,1-3 Years,2,0,2,9,2
591,Active Employee,0,No,42,35-45,Male,Married,2,Other,Research & Development,Laboratory Technician,1,3,Travel Frequently,5,Near (0-5 km),1474,97,9260,2093,<$3K,Lower Income,17,1,3,Good,2,3,4,3,3,No,Low Risk,8,Mid-Level(6-10),2,1-3 Years,2,2,0,4,4
592,Active Employee,0,No,36,35-45,Male,Single,4,Medical,Sales,Sales Executive,3,3,Non-Travel,10,Moderate (6-15 km),635,32,15318,9980,$6K-<10K,Middle Income,14,0,3,Good,2,4,4,2,3,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,3,9,7,1,3
593,Ex-Employee,1,Yes,22,18-25,Male,Single,1,Technical Degree,Research & Development,Laboratory Technician,1,2,Travel Frequently,4,Near (0-5 km),1368,99,9129,3894,$3K-<6K,Lower Middle Income,16,0,3,Good,3,3,3,3,3,No,Low Risk,4,Junior(3-5),2,1-3 Years,2,1,2,5,3
595,Active Employee,0,No,48,46-55,Female,Married,5,Marketing,Sales,Sales Executive,2,3,Travel Rarely,2,Near (0-5 km),163,37,19658,4051,$3K-<6K,Lower Middle Income,14,1,3,Good,2,4,1,3,2.5,No,Low Risk,14,Senior(11-20),9,8-10 Years,7,6,7,2,2
597,Active Employee,0,No,55,46-55,Female,Single,5,Life Sciences,Sales,Manager,4,3,Travel Rarely,18,Far (16-30 km),1117,83,9873,16835,$15K+,Higher Income,23,0,4,Excellent,1,2,4,3,2.5,No,Low Risk,37,Expert(20+),10,8-10 Years,9,7,7,3,2
599,Active Employee,0,No,41,35-45,Male,Single,2,Life Sciences,Sales,Sales Executive,2,3,Non-Travel,10,Moderate (6-15 km),267,56,13430,6230,$6K-<10K,Middle Income,14,0,3,Good,4,4,4,3,3.75,No,Low Risk,16,Senior(11-20),14,10-15 Years,3,1,10,7,3
600,Active Employee,0,No,35,35-45,Male,Married,3,Marketing,Sales,Sales Executive,2,3,Travel Rarely,1,Near (0-5 km),619,85,18659,4717,$3K-<6K,Lower Middle Income,11,0,3,Good,2,3,3,3,2.75,No,Low Risk,15,Senior(11-20),11,10-15 Years,9,6,9,9,2
601,Active Employee,0,No,40,35-45,Female,Single,3,Life Sciences,Research & Development,Manufacturing Director,4,3,Travel Rarely,6,Moderate (6-15 km),302,75,20364,13237,$10K-<15K,Upper Middle Income,15,0,3,Good,2,3,3,3,2.75,No,Low Risk,22,Expert(20+),20,15+ Years,6,5,13,7,3
602,Active Employee,0,No,39,35-45,Female,Married,1,Life Sciences,Research & Development,Laboratory Technician,1,3,Travel Frequently,8,Moderate (6-15 km),443,48,17872,3755,$3K-<6K,Lower Middle Income,11,1,3,Good,3,3,1,3,2.5,No,Low Risk,8,Mid-Level(6-10),8,8-10 Years,3,0,7,1,3
604,Active Employee,0,No,31,26-35,Male,Single,1,Life Sciences,Sales,Sales Executive,2,3,Travel Rarely,2,Near (0-5 km),828,77,8346,6582,$6K-<10K,Middle Income,13,0,3,Good,2,4,3,4,3.25,Yes,Moderate Risk,10,Mid-Level(6-10),6,4-7 Years,5,0,5,4,2
605,Active Employee,0,No,42,35-45,Male,Married,3,Medical,Research & Development,Manufacturing Director,3,3,Travel Rarely,24,Far (16-30 km),319,56,6950,7406,$6K-<10K,Middle Income,21,1,4,Excellent,4,1,4,2,2.75,Yes,High Risk,10,Mid-Level(6-10),10,8-10 Years,9,5,8,1,5
606,Active Employee,0,No,45,35-45,Male,Married,3,Other,Sales,Sales Executive,2,3,Travel Rarely,2,Near (0-5 km),561,61,16177,4805,$3K-<6K,Lower Middle Income,19,1,3,Good,4,2,2,4,3,No,Low Risk,9,Mid-Level(6-10),8,8-10 Years,7,3,7,0,3
608,Ex-Employee,1,Yes,26,26-35,Female,Divorced,4,Life Sciences,Human Resources,Human Resources,1,3,Travel Frequently,17,Far (16-30 km),426,58,22808,2741,<$3K,Lower Income,11,1,3,Good,2,3,2,2,2.25,Yes,High Risk,8,Mid-Level(6-10),7,4-7 Years,7,1,0,0,2
611,Active Employee,0,No,29,26-35,Male,Divorced,3,Technical Degree,Research & Development,Manufacturing Director,2,3,Travel Rarely,19,Far (16-30 km),232,34,22645,4262,$3K-<6K,Lower Middle Income,12,2,3,Good,4,4,2,4,3.5,No,Low Risk,8,Mid-Level(6-10),3,1-3 Years,2,1,2,4,2
612,Active Employee,0,No,33,26-35,Female,Divorced,5,Medical,Research & Development,Research Director,4,4,Travel Rarely,1,Near (0-5 km),922,95,22578,16184,$15K+,Higher Income,19,1,3,Good,1,3,3,3,2.5,No,Low Risk,10,Mid-Level(6-10),6,4-7 Years,1,0,5,4,2
613,Active Employee,0,No,31,26-35,Male,Divorced,3,Life Sciences,Sales,Manager,3,2,Travel Rarely,7,Moderate (6-15 km),688,44,25291,11557,$10K-<15K,Upper Middle Income,21,1,4,Excellent,3,4,3,2,3,No,Low Risk,10,Mid-Level(6-10),5,4-7 Years,4,0,1,9,3
614,Ex-Employee,1,Yes,18,18-25,Male,Single,3,Marketing,Sales,Sales Representative,1,3,Travel Frequently,5,Near (0-5 km),1306,69,8059,1878,<$3K,Lower Income,14,0,3,Good,2,2,4,3,2.75,Yes,Moderate Risk,0,Fresher(0-2),0,New Joiner,0,0,0,1,3
615,Active Employee,0,No,40,35-45,Male,Divorced,3,Other,Sales,Sales Executive,3,1,Non-Travel,28,Far (16-30 km),1094,58,11373,10932,$10K-<15K,Upper Middle Income,15,1,3,Good,3,1,3,3,2.5,No,Low Risk,20,Senior(11-20),1,1-3 Years,0,0,1,3,2
616,Active Employee,0,No,41,35-45,Female,Single,4,Other,Research & Development,Healthcare Representative,2,2,Non-Travel,2,Near (0-5 km),509,62,2112,6811,$6K-<10K,Middle Income,17,0,3,Good,1,3,1,3,2,Yes,High Risk,10,Mid-Level(6-10),8,8-10 Years,7,0,7,2,3
618,Active Employee,0,No,26,26-35,Male,Divorced,2,Medical,Sales,Sales Executive,2,3,Travel Rarely,29,Far (16-30 km),775,45,4267,4306,$3K-<6K,Lower Middle Income,12,2,3,Good,1,3,1,3,2,No,Low Risk,8,Mid-Level(6-10),0,New Joiner,0,0,0,5,5
620,Active Employee,0,No,35,35-45,Female,Single,3,Medical,Sales,Sales Executive,2,3,Travel Rarely,1,Near (0-5 km),195,80,6698,4859,$3K-<6K,Lower Middle Income,16,0,3,Good,1,3,4,3,2.75,No,Low Risk,5,Junior(3-5),5,4-7 Years,4,0,3,1,3
621,Active Employee,0,No,34,26-35,Male,Single,4,Life Sciences,Sales,Sales Executive,2,4,Travel Rarely,21,Far (16-30 km),258,74,19921,5337,$3K-<6K,Lower Middle Income,12,0,3,Good,4,4,4,3,3.75,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,7,5,7,1,3
622,Ex-Employee,1,Yes,26,26-35,Male,Single,3,Technical Degree,Research & Development,Laboratory Technician,1,1,Travel Rarely,24,Far (16-30 km),471,66,23213,2340,<$3K,Lower Income,18,0,3,Good,3,4,2,1,2.5,Yes,High Risk,1,Fresher(0-2),1,1-3 Years,0,0,0,1,3
623,Active Employee,0,No,37,35-45,Female,Single,3,Technical Degree,Research & Development,Manufacturing Director,3,3,Travel Rarely,1,Near (0-5 km),799,59,23848,7491,$6K-<10K,Middle Income,17,0,3,Good,2,4,4,4,3.5,No,Low Risk,12,Senior(11-20),6,4-7 Years,5,1,2,4,3
624,Active Employee,0,No,46,46-55,Female,Married,1,Medical,Research & Development,Healthcare Representative,3,3,Travel Frequently,18,Far (16-30 km),1034,86,8984,10527,$10K-<15K,Upper Middle Income,11,0,3,Good,1,3,4,2,2.5,No,Low Risk,28,Expert(20+),2,1-3 Years,2,1,2,5,3
625,Active Employee,0,No,41,35-45,Female,Married,5,Life Sciences,Sales,Manager,4,3,Travel Rarely,2,Near (0-5 km),1276,91,5626,16595,$15K+,Higher Income,16,1,3,Good,2,1,2,3,2,No,Low Risk,22,Expert(20+),18,15+ Years,16,11,8,7,2
626,Active Employee,0,No,37,35-45,Male,Divorced,4,Medical,Sales,Sales Executive,3,3,Non-Travel,9,Moderate (6-15 km),142,69,24666,8834,$6K-<10K,Middle Income,13,1,3,Good,1,2,4,3,2.5,No,Low Risk,9,Mid-Level(6-10),9,8-10 Years,5,7,7,1,6
630,Active Employee,0,No,52,46-55,Male,Divorced,2,Technical Degree,Research & Development,Research Scientist,2,3,Travel Rarely,6,Moderate (6-15 km),956,78,22087,5577,$3K-<6K,Lower Middle Income,12,2,3,Good,4,1,2,3,2.5,Yes,High Risk,18,Senior(11-20),10,8-10 Years,9,6,9,3,3
631,Ex-Employee,1,Yes,32,26-35,Male,Married,4,Other,Sales,Sales Executive,2,4,Non-Travel,11,Moderate (6-15 km),1474,60,23914,4707,$3K-<6K,Lower Middle Income,12,0,3,Good,4,3,4,3,3.5,No,Low Risk,6,Mid-Level(6-10),4,4-7 Years,2,1,2,8,2
632,Active Employee,0,No,24,18-25,Male,Married,3,Medical,Sales,Sales Representative,1,3,Travel Frequently,24,Far (16-30 km),535,38,5530,2400,<$3K,Lower Income,13,2,3,Good,4,4,3,3,3.5,No,Low Risk,3,Junior(3-5),2,1-3 Years,2,2,1,0,3
634,Active Employee,0,No,38,35-45,Female,Married,3,Medical,Research & Development,Healthcare Representative,2,3,Travel Rarely,10,Moderate (6-15 km),1495,76,22174,9824,$6K-<10K,Middle Income,19,1,3,Good,3,3,3,3,3,No,Low Risk,18,Senior(11-20),1,1-3 Years,0,0,0,3,4
635,Active Employee,0,No,37,35-45,Female,Married,4,Life Sciences,Research & Development,Manufacturing Director,2,3,Travel Rarely,1,Near (0-5 km),446,65,15701,6447,$6K-<10K,Middle Income,12,1,3,Good,2,2,2,2,2,No,Low Risk,8,Mid-Level(6-10),6,4-7 Years,5,4,3,6,2
638,Active Employee,0,No,49,46-55,Male,Divorced,4,Life Sciences,Research & Development,Research Director,5,2,Travel Rarely,18,Far (16-30 km),1245,58,2125,19502,$15K+,Higher Income,17,1,3,Good,4,3,3,3,3.25,Yes,High Risk,31,Expert(20+),31,15+ Years,9,0,9,1,5
